t,amp
0.038948,4.417610e-06
0.077895,8.455789e-06
0.11684,1.218787e-05
0.15579,1.402004e-05
0.19474,1.455960e-05
0.23368,1.470123e-05
0.27263,1.502807e-05
0.31158,1.563394e-05
0.35053,1.625086e-05
0.38947,1.653930e-05
0.42842,1.647830e-05
0.46737,1.633004e-05
0.50631,1.659238e-05
0.54526,1.750660e-05
0.58421,1.894283e-05
0.62315,2.050587e-05
0.6621,2.167734e-05
0.70105,2.231433e-05
0.74,2.267134e-05
0.77894,2.845778e-05
0.81789,1.605798e-05
0.85684,3.281815e-05
0.89578,2.481483e-05
0.93473,2.542077e-05
0.97368,3.352589e-05
1.0126,3.450426e-05
1.0516,3.150787e-05
1.0905,3.241899e-05
1.1295,3.751647e-05
1.1684,4.153649e-05
1.2074,3.874404e-05
1.2463,5.174428e-05
1.2852,3.274872e-05
1.3242,5.166562e-05
1.3631,5.837350e-05
1.4021,5.476318e-05
1.441,5.346122e-05
1.48,5.765926e-05
1.5189,6.413684e-05
1.5579,6.960317e-05
1.5968,7.425983e-05
1.6358,7.523859e-05
1.6747,7.988483e-05
1.7137,8.292371e-05
1.7526,8.907501e-05
1.7915,9.527927e-05
1.8305,1.000264e-04
1.8694,1.057459e-04
1.9084,1.125173e-04
1.9473,1.190551e-04
1.9863,1.237294e-04
2.0252,1.415928e-04
2.0642,1.282479e-04
2.1031,1.602114e-04
2.1421,1.444317e-04
2.181,1.649605e-04
2.2199,1.860456e-04
2.2589,1.845957e-04
2.2978,1.917095e-04
2.3368,2.108472e-04
2.3757,2.232279e-04
2.4147,2.281396e-04
2.4536,2.378901e-04
2.4926,2.601683e-04
2.5315,2.784523e-04
2.5704,2.954852e-04
2.6094,3.059133e-04
2.6483,3.199018e-04
2.6873,3.418786e-04
2.7262,3.658186e-04
2.7652,3.872835e-04
2.8041,4.082150e-04
2.8431,4.262899e-04
2.882,4.579099e-04
2.921,4.798651e-04
2.9599,5.139214e-04
2.9988,5.373183e-04
