x,Rex,Cf,Cf_exact,d99,d99_exact
0.29883,573.759,0.0297108,0.0277207,0.0292969,0.0305072
0.34961,771.497,0.0253895,0.0239057,0.0371094,0.0352854
0.40039,969.417,0.0225389,0.0213262,0.0410156,0.0394861
0.45117,1167.61,0.0204843,0.019432,0.0449219,0.0432759
0.49805,1350.71,0.0190317,0.0180671,0.0449219,0.0464984
0.54883,1549.25,0.0177736,0.0168697,0.0488281,0.0497515
0.59961,1747.99,0.0167463,0.0158818,0.0527344,0.0528016
0.65039,1946.95,0.0159272,0.0150484,0.0566406,0.0556819
0.70117,2146.12,0.0151749,0.0143331,0.0566406,0.0584172
0.75195,2345.62,0.0145091,0.0137101,0.0605469,0.061026
0.79883,2530.06,0.0141058,0.0132009,0.0644531,0.0633353
0.84961,2730.14,0.0135978,0.012708,0.0644531,0.0657422
0.90039,2930.6,0.0132194,0.0122656,0.0683594,0.0680598
0.95117,3131.61,0.0128757,0.0118654,0.0683594,0.0702948
1.002,3333.01,0.0126023,0.0115014,0.0722656,0.0724568
1.0488,3519.52,0.012403,0.0111925,0.0722656,0.0743904
1.0996,3722.06,0.0122398,0.0108837,0.0761719,0.0764249
