problem,scheme,N,h,L1
entropy_wave,muscl,8,1.250000000e-01,6.680228483e-02
entropy_wave,muscl,16,6.250000000e-02,1.479632644e-02
entropy_wave,muscl,32,3.125000000e-02,4.604579101e-03
entropy_wave,muscl,64,1.562500000e-02,1.292603237e-03
entropy_wave,muscl,128,7.812500000e-03,3.230753884e-04
entropy_wave,weno5,8,1.250000000e-01,2.054587674e-02
entropy_wave,weno5,16,6.250000000e-02,1.258005454e-03
entropy_wave,weno5,32,3.125000000e-02,4.306030946e-05
entropy_wave,weno5,64,1.562500000e-02,1.174956560e-05
entropy_wave,weno5,128,7.812500000e-03,2.149213105e-05
isentropic_vortex,muscl,32,3.125000000e-01,2.430744644e-03
isentropic_vortex,muscl,64,1.562500000e-01,6.724066552e-04
isentropic_vortex,muscl,128,7.812500000e-02,1.515129970e-04
isentropic_vortex,muscl,256,3.906250000e-02,3.222438681e-05
isentropic_vortex,weno5,32,3.125000000e-01,5.205437192e-04
isentropic_vortex,weno5,64,1.562500000e-01,1.127117066e-04
isentropic_vortex,weno5,128,7.812500000e-02,3.108792589e-05
isentropic_vortex,weno5,256,3.906250000e-02,1.463813942e-05
sod,muscl,100,1.000000000e-02,5.501924491e-03
sod,muscl,200,5.000000000e-03,2.723264389e-03
sod,muscl,400,2.500000000e-03,1.460057555e-03
sod,muscl,800,1.250000000e-03,8.105080341e-04
sod,muscl,1600,6.250000000e-04,4.314050215e-04
sod,weno5,100,1.000000000e-02,4.721757780e-03
sod,weno5,200,5.000000000e-03,2.389887051e-03
sod,weno5,400,2.500000000e-03,1.292058227e-03
sod,weno5,800,1.250000000e-03,7.075001621e-04
sod,weno5,1600,6.250000000e-04,3.722527129e-04
