theta_deg,cp
-177.8760,1.671869
-173.6162,1.663679
-169.3204,1.632215
-165.7590,1.601382
-163.5611,1.540223
-160.5131,1.513784
-155.9369,1.421863
-153.1731,1.372409
-150.7505,1.283309
-146.6681,1.223342
-144.1139,1.080197
-140.9242,1.049786
-137.9921,0.983245
-135.0000,0.880375
-132.0079,0.817655
-129.0758,0.726610
-125.8861,0.579002
-123.3319,0.574665
-119.2495,0.444144
-116.8269,0.396336
-114.0631,0.326006
-109.4869,0.219004
-106.4389,0.137984
-104.2410,0.112979
-100.6796,0.050431
-96.3838,-0.021564
-92.1240,-0.086975
-87.8760,-0.142379
-83.6162,-0.187244
-79.3204,-0.225430
-75.7590,-0.249616
-73.5611,-0.264033
-70.5131,-0.280451
-65.9369,-0.302915
-63.1731,-0.312474
-60.7505,-0.320595
-56.6681,-0.330609
-54.1139,-0.335406
-50.9242,-0.341677
-47.9921,-0.346169
-45.0000,-0.349066
-42.0079,-0.351719
-39.0758,-0.353302
-35.8861,-0.354868
-33.3319,-0.338146
-29.2495,-0.244305
-26.8269,-0.237525
-24.0631,-0.230860
-19.4869,-0.238059
-16.4389,-0.248758
-14.2410,-0.252930
-10.6796,-0.253568
-6.3838,-0.228671
-2.1240,-0.191735
2.1240,-0.198965
6.3838,-0.236212
10.6796,-0.260079
14.2410,-0.257273
16.4389,-0.252735
19.4869,-0.240392
24.0631,-0.231998
26.8269,-0.238691
29.2495,-0.245873
33.3319,-0.338787
35.8861,-0.352227
39.0758,-0.352650
42.0079,-0.350993
45.0000,-0.348828
47.9921,-0.345996
50.9242,-0.341651
54.1139,-0.335411
56.6681,-0.330609
60.7505,-0.320588
63.1731,-0.312474
65.9369,-0.302915
70.5131,-0.280451
73.5611,-0.264032
75.7590,-0.249616
79.3204,-0.225430
83.6162,-0.187244
87.8760,-0.142379
92.1240,-0.086975
96.3838,-0.021565
100.6796,0.050431
104.2410,0.112979
106.4389,0.137988
109.4869,0.219005
114.0631,0.326007
116.8269,0.396337
119.2495,0.444141
123.3319,0.574666
125.8861,0.579006
129.0758,0.726608
132.0079,0.817654
135.0000,0.880374
137.9921,0.983244
140.9242,1.049786
144.1139,1.080205
146.6681,1.223341
150.7505,1.283303
153.1731,1.372407
155.9369,1.421859
160.5131,1.513777
163.5611,1.540219
165.7590,1.601374
169.3204,1.632207
173.6162,1.663658
177.8760,1.671844
