theta_deg,cp
-177.8789,1.694993
-173.6598,1.686541
-169.5085,1.669542
-165.4655,1.639052
-161.5651,1.602362
-156.2505,1.353297
-152.5256,1.436672
-146.8886,1.168807
-141.0090,1.207723
-137.8624,1.254562
-132.1376,0.446845
-128.9910,0.707457
-123.1114,0.722433
-117.4744,0.379390
-113.7495,0.562417
-108.4349,-0.021330
-104.5345,-0.205044
-100.4915,-0.195290
-96.3402,-0.169724
-92.1211,-0.139251
-87.8789,-0.119459
-83.6598,-0.108945
-79.5085,-0.110203
-75.4655,-0.110077
-71.5650,-0.108000
-66.2505,-0.305279
-62.5256,-0.293674
-56.8886,-0.326603
-51.0090,-0.339314
-47.8624,-0.321751
-42.1376,-0.258371
-38.9910,-0.246581
-33.1113,-0.244147
-27.4744,-0.250693
-23.7495,-0.248361
-18.4349,-0.299087
-14.5345,-0.289574
-10.4915,-0.263401
-6.3402,-0.238834
-2.1211,-0.205857
2.1211,-0.206019
6.3402,-0.238944
10.4915,-0.263261
14.5345,-0.289464
18.4350,-0.301894
23.7495,-0.252030
27.4744,-0.252917
33.1113,-0.243155
38.9910,-0.244877
42.1376,-0.258784
47.8624,-0.305378
51.0090,-0.341058
56.8887,-0.326601
62.5256,-0.293674
66.2505,-0.305279
71.5650,-0.108000
75.4655,-0.110077
79.5085,-0.110203
83.6598,-0.108945
87.8789,-0.119459
92.1211,-0.139251
96.3402,-0.169724
100.4915,-0.195290
104.5345,-0.205044
108.4349,-0.021330
113.7495,0.562417
117.4744,0.379390
123.1113,0.722433
128.9910,0.707457
132.1376,0.446845
137.8624,1.254563
141.0090,1.207723
146.8886,1.168808
152.5256,1.436672
156.2505,1.353297
161.5650,1.602362
165.4655,1.639052
169.5085,1.669541
173.6598,1.686541
177.8789,1.694993
