x_over_D,u_over_U
0.53125,-0.005070
0.59375,-0.015768
0.65625,-0.027894
0.71875,-0.039413
0.78125,-0.049239
0.84375,-0.057208
0.90625,-0.063425
0.96875,-0.068113
1.03125,-0.071491
1.09375,-0.073777
1.15625,-0.075170
1.21875,-0.075833
1.28125,-0.075883
1.34375,-0.075475
1.40625,-0.074637
1.46875,-0.073374
1.53125,-0.071702
1.59375,-0.069646
1.65625,-0.067237
1.71875,-0.064508
1.78125,-0.061492
1.84375,-0.058218
1.90625,-0.054715
1.96875,-0.051009
2.03125,-0.047126
2.09375,-0.043085
2.15625,-0.038908
2.21875,-0.034612
2.28125,-0.030211
2.34375,-0.025717
2.40625,-0.021144
2.46875,-0.016503
2.53125,-0.011803
2.59375,-0.007053
2.65625,-0.002262
2.71875,0.002563
2.78125,0.007416
2.84375,0.012291
2.90625,0.017182
2.96875,0.022086
3.03125,0.026998
3.09375,0.031916
3.15625,0.036835
3.21875,0.041754
3.28125,0.046670
3.34375,0.051581
3.40625,0.056485
3.46875,0.061380
3.53125,0.066264
3.59375,0.071134
3.65625,0.075988
3.71875,0.080826
3.78125,0.085645
3.84375,0.090443
3.90625,0.095220
3.96875,0.099973
4.03125,0.104701
4.09375,0.109402
4.15625,0.114077
4.21875,0.118724
4.28125,0.123343
4.34375,0.127932
4.40625,0.132490
4.46875,0.137019
4.53125,0.141515
4.59375,0.145981
4.65625,0.150414
4.71875,0.154815
4.78125,0.159182
4.84375,0.163516
4.90625,0.167817
4.96875,0.172084
5.03125,0.176317
5.09375,0.180516
5.15625,0.184680
5.21875,0.188810
5.28125,0.192906
5.34375,0.196967
5.40625,0.200994
5.46875,0.204986
5.53125,0.208944
5.59375,0.212867
5.65625,0.216755
5.71875,0.220610
5.78125,0.224430
5.84375,0.228216
5.90625,0.231968
5.96875,0.235685
6.03125,0.239369
6.09375,0.243020
6.15625,0.246637
6.21875,0.250221
6.28125,0.253771
6.34375,0.257289
6.40625,0.260773
6.46875,0.264226
6.53125,0.267645
6.59375,0.271033
6.65625,0.274389
6.71875,0.277714
6.78125,0.281006
6.84375,0.284268
6.90625,0.287499
6.96875,0.290699
7.03125,0.293869
7.09375,0.297009
7.15625,0.300119
7.21875,0.303199
7.28125,0.306251
7.34375,0.309273
7.40625,0.312267
7.46875,0.315231
7.53125,0.318168
7.59375,0.321077
7.65625,0.323958
7.71875,0.326812
7.78125,0.329639
7.84375,0.332439
7.90625,0.335213
7.96875,0.337961
