eta,u,fp
0.16785,0.057302,0.055735
0.50356,0.16923,0.16706
0.83927,0.27824,0.27755
1.175,0.38356,0.38584
1.5107,0.48411,0.49002
1.8464,0.57846,0.5878
2.1821,0.665,0.67685
2.5178,0.74214,0.75511
2.8535,0.80859,0.82119
3.1892,0.86363,0.87458
3.5249,0.90725,0.9157
3.8606,0.94019,0.94582
4.1963,0.96377,0.96677
4.5321,0.9797,0.98058
4.8678,0.98977,0.9892
5.2035,0.99564,0.99428
5.5392,0.99863,0.99713
5.8749,0.99986,0.99863
6.2106,1,0.99938
6.5463,0.99957,0.99973
6.882,0.99882,0.99989
7.2177,0.99789,0.99996
7.5534,0.99687,0.99998
7.8891,0.99581,0.99999
