x,v,v_exact
0.00195312,-0.1,-0.1
0.00585938,-0.1,-0.1
0.00976562,-0.1,-0.1
0.0136719,-0.1,-0.1
0.0175781,-0.1,-0.1
0.0214844,-0.1,-0.1
0.0253906,-0.1,-0.1
0.0292969,-0.1,-0.1
0.0332031,-0.1,-0.1
0.0371094,-0.1,-0.1
0.0410156,-0.1,-0.1
0.0449219,-0.1,-0.1
0.0488281,-0.1,-0.1
0.0527344,-0.1,-0.1
0.0566406,-0.1,-0.1
0.0605469,-0.1,-0.1
0.0644531,-0.1,-0.1
0.0683594,-0.1,-0.1
0.0722656,-0.1,-0.1
0.0761719,-0.1,-0.1
0.0800781,-0.1,-0.1
0.0839844,-0.1,-0.1
0.0878906,-0.1,-0.1
0.0917969,-0.1,-0.1
0.0957031,-0.1,-0.1
0.0996094,-0.1,-0.1
0.103516,-0.1,-0.1
0.107422,-0.1,-0.1
0.111328,-0.1,-0.1
0.115234,-0.1,-0.1
0.119141,-0.1,-0.1
0.123047,-0.1,-0.1
0.126953,-0.1,-0.1
0.130859,-0.1,-0.1
0.134766,-0.1,-0.1
0.138672,-0.1,-0.1
0.142578,-0.1,-0.1
0.146484,-0.1,-0.1
0.150391,-0.1,-0.1
0.154297,-0.1,-0.1
0.158203,-0.1,-0.1
0.162109,-0.1,-0.1
0.166016,-0.1,-0.1
0.169922,-0.1,-0.1
0.173828,-0.1,-0.1
0.177734,-0.1,-0.1
0.181641,-0.1,-0.1
0.185547,-0.1,-0.1
0.189453,-0.1,-0.1
0.193359,-0.1,-0.1
0.197266,-0.1,-0.1
0.201172,-0.1,-0.1
0.205078,-0.1,-0.1
0.208984,-0.1,-0.1
0.212891,-0.1,-0.1
0.216797,-0.1,-0.1
0.220703,-0.1,-0.1
0.224609,-0.1,-0.1
0.228516,-0.0999999,-0.1
0.232422,-0.0999999,-0.1
0.236328,-0.0999998,-0.1
0.240234,-0.0999997,-0.1
0.244141,-0.0999997,-0.1
0.248047,-0.0999997,-0.1
0.251953,-0.0999997,-0.1
0.255859,-0.0999997,-0.1
0.259766,-0.0999997,-0.1
0.263672,-0.0999997,-0.1
0.267578,-0.0999996,-0.1
0.271484,-0.0999996,-0.1
0.275391,-0.0999996,-0.1
0.279297,-0.0999995,-0.0999999
0.283203,-0.0999994,-0.0999999
0.287109,-0.0999992,-0.0999998
0.291016,-0.0999991,-0.0999997
0.294922,-0.0999989,-0.0999995
0.298828,-0.0999987,-0.0999993
0.302734,-0.0999983,-0.099999
0.306641,-0.0999977,-0.0999985
0.310547,-0.099997,-0.0999977
0.314453,-0.0999959,-0.0999967
0.318359,-0.0999943,-0.0999951
0.322266,-0.0999921,-0.0999929
0.326172,-0.0999889,-0.0999898
0.330078,-0.0999845,-0.0999855
0.333984,-0.0999783,-0.0999795
0.337891,-0.0999698,-0.0999711
0.341797,-0.0999582,-0.0999596
0.345703,-0.0999424,-0.099944
0.349609,-0.0999211,-0.0999229
0.353516,-0.0998925,-0.0998945
0.357422,-0.0998546,-0.0998568
0.361328,-0.0998044,-0.099807
0.365234,-0.0997387,-0.0997417
0.369141,-0.0996534,-0.0996568
0.373047,-0.0995433,-0.0995471
0.376953,-0.0994023,-0.0994066
0.380859,-0.0992232,-0.099228
0.384766,-0.0989972,-0.0990026
0.388672,-0.0987145,-0.0987203
0.392578,-0.0983632,-0.0983695
0.396484,-0.0979302,-0.097937
0.400391,-0.0974004,-0.0974075
0.404297,-0.096757,-0.0967644
0.408203,-0.0959817,-0.0959893
0.412109,-0.0950543,-0.095062
0.416016,-0.0939536,-0.0939612
0.419922,-0.0926571,-0.0926643
0.423828,-0.0911413,-0.091148
0.427734,-0.0893826,-0.0893886
0.431641,-0.0873574,-0.0873627
0.435547,-0.0850433,-0.0850476
0.439453,-0.082419,-0.0824222
0.443359,-0.0794653,-0.0794674
0.447266,-0.0761663,-0.0761672
0.451172,-0.0725095,-0.0725092
0.455078,-0.0684869,-0.0684854
0.458984,-0.0640954,-0.0640929
0.462891,-0.0593376,-0.0593343
0.466797,-0.0542221,-0.0542182
0.470703,-0.0487638,-0.0487595
0.474609,-0.0429841,-0.0429796
0.478516,-0.0369104,-0.0369061
0.482422,-0.0305763,-0.0305724
0.486328,-0.024021,-0.0240176
0.490234,-0.0172881,-0.0172856
0.494141,-0.0104256,-0.010424
0.498047,-0.00348403,-0.00348351
0.501953,0.00348406,0.00348351
0.505859,0.0104256,0.010424
0.509766,0.0172882,0.0172856
0.513672,0.024021,0.0240176
0.517578,0.0305764,0.0305724
0.521484,0.0369104,0.0369061
0.525391,0.0429841,0.0429796
0.529297,0.0487639,0.0487595
0.533203,0.0542221,0.0542182
0.537109,0.0593376,0.0593343
0.541016,0.0640954,0.0640929
0.544922,0.0684869,0.0684854
0.548828,0.0725095,0.0725092
0.552734,0.0761663,0.0761672
0.556641,0.0794653,0.0794674
