x,y,rho
0.0019531,0.0019531,1
0.0097656,0.0019531,1
0.017578,0.0019531,1
0.025391,0.0019531,1
0.033203,0.0019531,1
0.041016,0.0019531,1
0.048828,0.0019531,1
0.056641,0.0019531,1
0.064453,0.0019531,1
0.072266,0.0019531,1
0.080078,0.0019531,1
0.087891,0.0019531,1
0.095703,0.0019531,1
0.10352,0.0019531,1
0.11133,0.0019531,1
0.11914,0.0019531,1
0.12695,0.0019531,1
0.13477,0.0019531,1
0.14258,0.0019531,1
0.15039,0.0019531,1
0.1582,0.0019531,1
0.16602,0.0019531,1
0.17383,0.0019531,1
0.18164,0.0019531,1
0.18945,0.0019531,1
0.19727,0.0019531,1
0.20508,0.0019531,1
0.21289,0.0019531,1
0.2207,0.0019531,1
0.22852,0.0019531,1
0.23633,0.0019531,1
0.24414,0.0019531,1
0.25195,0.0019531,1
0.25977,0.0019531,1
0.26758,0.0019531,1
0.27539,0.0019531,1
0.2832,0.0019531,1
0.29102,0.0019531,1
0.29883,0.0019531,1
0.30664,0.0019531,1
0.31445,0.0019531,1
0.32227,0.0019531,1
0.33008,0.0019531,1
0.33789,0.0019531,1
0.3457,0.0019531,1
0.35352,0.0019531,1
0.36133,0.0019531,1
0.36914,0.0019531,1
0.37695,0.0019531,1
0.38477,0.0019531,1
0.39258,0.0019531,1
0.40039,0.0019531,1
0.4082,0.0019531,1
0.41602,0.0019531,1
0.42383,0.0019531,1
0.43164,0.0019531,1
0.43945,0.0019531,1
0.44727,0.0019531,1
0.45508,0.0019531,1
0.46289,0.0019531,1
0.4707,0.0019531,1
0.47852,0.0019531,1
0.48633,0.0019531,1
0.49414,0.0019531,1
0.50195,0.0019531,1
0.50977,0.0019531,1
0.51758,0.0019531,1
0.52539,0.0019531,1
0.5332,0.0019531,1
0.54102,0.0019531,1
0.54883,0.0019531,1
0.55664,0.0019531,1
0.56445,0.0019531,1
0.57227,0.0019531,1
0.58008,0.0019531,1
0.58789,0.0019531,1
0.5957,0.0019531,1
0.60352,0.0019531,1
0.61133,0.0019531,1
0.61914,0.0019531,1
0.62695,0.0019531,1
0.63477,0.0019531,1
0.64258,0.0019531,1
0.65039,0.0019531,1
0.6582,0.0019531,1
0.66602,0.0019531,1
0.67383,0.0019531,1
0.68164,0.0019531,1
0.68945,0.0019531,1
0.69727,0.0019531,1
0.70508,0.0019531,1
0.71289,0.0019531,1
0.7207,0.0019531,1
0.72852,0.0019531,0.999965
0.73633,0.0019531,0.997704
0.74414,0.0019531,0.985106
0.75195,0.0019531,0.964222
0.75977,0.0019531,0.939373
0.76758,0.0019531,0.913044
0.77539,0.0019531,0.886271
0.7832,0.0019531,0.859462
0.79102,0.0019531,0.832803
0.79883,0.0019531,0.806389
0.80664,0.0019531,0.780243
0.81445,0.0019531,0.754469
0.82227,0.0019531,0.729135
0.83008,0.0019531,0.704181
0.83789,0.0019531,0.679615
0.8457,0.0019531,0.655452
0.85352,0.0019531,0.631699
0.86133,0.0019531,0.608356
0.86914,0.0019531,0.585433
0.87695,0.0019531,0.563005
0.88477,0.0019531,0.541122
0.89258,0.0019531,0.519746
0.90039,0.0019531,0.498888
0.9082,0.0019531,0.478583
0.91602,0.0019531,0.458807
0.92383,0.0019531,0.4396
0.93164,0.0019531,0.420959
0.93945,0.0019531,0.402882
0.94727,0.0019531,0.385367
0.95508,0.0019531,0.368514
0.96289,0.0019531,0.352257
0.9707,0.0019531,0.336587
0.97852,0.0019531,0.32152
0.98633,0.0019531,0.307447
0.99414,0.0019531,0.290235
0.0019531,0.0097656,1
0.0097656,0.0097656,1
0.017578,0.0097656,1
0.025391,0.0097656,1
0.033203,0.0097656,1
0.041016,0.0097656,1
0.048828,0.0097656,1
0.056641,0.0097656,1
0.064453,0.0097656,1
0.072266,0.0097656,1
0.080078,0.0097656,1
0.087891,0.0097656,1
0.095703,0.0097656,1
0.10352,0.0097656,1
0.11133,0.0097656,1
0.11914,0.0097656,1
0.12695,0.0097656,1
0.13477,0.0097656,1
0.14258,0.0097656,1
0.15039,0.0097656,1
0.1582,0.0097656,1
0.16602,0.0097656,1
0.17383,0.0097656,1
0.18164,0.0097656,1
0.18945,0.0097656,1
0.19727,0.0097656,1
0.20508,0.0097656,1
0.21289,0.0097656,1
0.2207,0.0097656,1
0.22852,0.0097656,1
0.23633,0.0097656,1
0.24414,0.0097656,1
0.25195,0.0097656,1
0.25977,0.0097656,1
