x,rho,u,p,rho_exact,u_exact,p_exact
0.0049999999,1,0,1,1,0,1
0.015,1,0,1,1,0,1
0.024999999,1,0,1,1,0,1
0.034999999,1,0,1,1,0,1
0.044999999,1,0,1,1,0,1
0.054999999,1,0,1,1,0,1
0.064999999,1,0,1,1,0,1
0.074999998,1,0,1,1,0,1
0.084999998,1,0,1,1,0,1
0.094999998,1,0,1,1,0,1
0.105,1,0,1,1,0,1
0.115,1,0,1,1,0,1
0.125,1,0,1,1,0,1
0.135,1,0,1,1,0,1
0.145,1,0,1,1,0,1
0.155,1,0,1,1,0,1
0.165,1,0,1,1,0,1
0.175,1,0,1,1,0,1
0.185,1,0,1,1,0,1
0.195,0.99999988,9.7748469e-08,0.99999982,1,0,1
0.205,0.99999887,1.2241015e-06,0.99999851,1,0,1
0.215,0.99999231,9.255632e-06,0.99998915,1,0,1
0.22499999,0.9999429,6.7440822e-05,0.99992019,1,0,1
0.23499999,0.99959123,0.00048374472,0.99942786,1,0,1
0.24499999,0.99692738,0.0036392235,0.99570209,1,0,1
0.25499999,0.98618615,0.016423376,0.98072416,1,0,1
0.26499999,0.96733117,0.039127026,0.95458776,0.99422694,0.0068466058,0.99192706
0.27499999,0.94312304,0.068807282,0.92132622,0.95966575,0.048513272,0.9439913
0.28499999,0.91594571,0.10286889,0.88439029,0.92607244,0.090179937,0.89805502
0.29499999,0.88744462,0.13947929,0.84611976,0.89342654,0.1318466,0.85404822
0.30499999,0.8585766,0.17753747,0.80785203,0.86170787,0.17351327,0.81190288
0.31499999,0.82984895,0.21644497,0.77027619,0.83089653,0.21517993,0.77155293
0.32499999,0.80152953,0.25587109,0.7337395,0.80097292,0.2568466,0.73293417
0.33499999,0.77376157,0.29562747,0.69841164,0.77191771,0.29851327,0.69598425
0.34499999,0.74662524,0.33559856,0.66437334,0.74371187,0.34017993,0.66064264
0.35499999,0.7201668,0.37570763,0.6316576,0.71633663,0.3818466,0.62685057
0.36499999,0.69441199,0.4158999,0.60026985,0.68977352,0.42351326,0.59455101
0.37499999,0.66937333,0.45613471,0.57019752,0.66400432,0.46517993,0.56368862
0.38499999,0.64505458,0.49638084,0.54141796,0.63901111,0.50684659,0.5342097
0.39499999,0.62145442,0.53661388,0.51390082,0.61477623,0.54851326,0.50606219
0.40499999,0.59856862,0.57681298,0.48761278,0.59128229,0.59017993,0.4791956
0.41499999,0.57639319,0.61695486,0.46252137,0.56851217,0.63184659,0.45356096
0.42499999,0.55492973,0.65700305,0.43860024,0.54644901,0.67351326,0.42911085
0.43499999,0.53419077,0.696895,0.4158347,0.52507622,0.71517992,0.40579929
0.44499999,0.51420575,0.73652714,0.39422834,0.50437747,0.75684659,0.38358176
0.45499999,0.49502635,0.77573854,0.3738066,0.4843367,0.79851325,0.36241513
0.46499999,0.47673613,0.81428224,0.35462409,0.46493808,0.84017992,0.34225765
0.47499999,0.4594976,0.85170823,0.33681259,0.44616606,0.88184659,0.3230689
0.48499999,0.44375545,0.88688689,0.32077724,0.42800535,0.92351325,0.30480976
0.49499999,0.43083614,0.91651392,0.30778995,0.42631943,0.92745262,0.30313018
0.50499999,0.42412603,0.9323889,0.30103239,0.42631943,0.92745262,0.30313018
0.51499999,0.4231877,0.93446857,0.3001534,0.42631943,0.92745262,0.30313018
0.52499999,0.42509964,0.92992139,0.30207619,0.42631943,0.92745262,0.30313018
0.53499999,0.42545786,0.92906207,0.30244112,0.42631943,0.92745262,0.30313018
0.54499999,0.42590323,0.92804641,0.30287218,0.42631943,0.92745262,0.30313018
0.55499999,0.42567873,0.92859471,0.30263776,0.42631943,0.92745262,0.30313018
0.56499999,0.42560086,0.92875272,0.30256909,0.42631943,0.92745262,0.30313018
0.57499999,0.425522,0.9288438,0.30253518,0.42631943,0.92745262,0.30313018
0.58499999,0.42554253,0.92843032,0.30270571,0.42631943,0.92745262,0.30313018
0.59499999,0.4254851,0.92771769,0.30302939,0.42631943,0.92745262,0.30313018
0.60499999,0.42512968,0.92764628,0.30304182,0.42631943,0.92745262,0.30313018
0.61499999,0.42464635,0.92807835,0.30286735,0.42631943,0.92745262,0.30313018
0.62499999,0.42461389,0.92795289,0.30290318,0.42631943,0.92745262,0.30313018
0.63499999,0.42457384,0.9279964,0.30288932,0.42631943,0.92745262,0.30313018
0.64499999,0.42448753,0.92778218,0.30300602,0.42631943,0.92745262,0.30313018
0.65499999,0.42328781,0.92739451,0.30315951,0.42631943,0.92745262,0.30313018
0.66499999,0.41538465,0.92733318,0.30318201,0.42631943,0.92745262,0.30313018
0.67499998,0.38856605,0.92733651,0.30319813,0.42631943,0.92745262,0.30313018
0.68499998,0.34501171,0.9276855,0.303087,0.42631943,0.92745262,0.30313018
0.69499998,0.29866475,0.9280327,0.30297372,0.26557371,0.92745262,0.30313018
0.70499998,0.26747417,0.92790836,0.30302891,0.26557371,0.92745262,0.30313018
0.71499998,0.26060525,0.92780244,0.30310473,0.26557371,0.92745262,0.30313018
0.72499998,0.26038897,0.92754638,0.3031936,0.26557371,0.92745262,0.30313018
0.73499998,0.26106268,0.92715055,0.30333015,0.26557371,0.92745262,0.30313018
0.74499998,0.26302132,0.92734498,0.30324063,0.26557371,0.92745262,0.30313018
0.75499998,0.26488847,0.92722428,0.30320838,0.26557371,0.92745262,0.30313018
0.76499998,0.26553768,0.92720068,0.30317447,0.26557371,0.92745262,0.30313018
0.77499998,0.26549014,0.92781705,0.30302575,0.26557371,0.92745262,0.30313018
0.78499998,0.26548812,0.92800236,0.30302754,0.26557371,0.92745262,0.30313018
0.79499998,0.2656723,0.92742658,0.30327627,0.26557371,0.92745262,0.30313018
0.80499998,0.26552799,0.92823339,0.30299899,0.26557371,0.92745262,0.30313018
0.81499998,0.26585644,0.92650759,0.30349454,0.26557371,0.92745262,0.30313018
0.82499998,0.26557669,0.92706996,0.30313587,0.26557371,0.92745262,0.30313018
0.83499998,0.26547068,0.92620033,0.30261257,0.26557371,0.92745262,0.30313018
0.84499998,0.25027391,0.85935605,0.27954176,0.26557371,0.92745262,0.30313018
0.85499998,0.15988666,0.30546254,0.14638929,0.125,0,0.1
0.86499998,0.12538028,0.0032271638,0.10042728,0.125,0,0.1
0.87499998,0.12500246,2.0854159e-05,0.10000276,0.125,0,0.1
0.88499998,0.12500001,1.1347737e-07,0.10000002,0.125,0,0.1
0.89499998,0.125,0,0.10000001,0.125,0,0.1
0.90499998,0.125,0,0.10000001,0.125,0,0.1
0.91499998,0.125,0,0.10000001,0.125,0,0.1
0.92499998,0.125,0,0.10000001,0.125,0,0.1
0.93499998,0.125,0,0.10000001,0.125,0,0.1
0.94499998,0.125,0,0.10000001,0.125,0,0.1
0.95499998,0.125,0,0.10000001,0.125,0,0.1
0.96499998,0.125,0,0.10000001,0.125,0,0.1
0.97499998,0.125,0,0.10000001,0.125,0,0.1
0.98499998,0.125,0,0.10000001,0.125,0,0.1
0.99499998,0.125,0,0.10000001,0.125,0,0.1
