x,rho,u,p,rho_exact,u_exact,p_exact
0.00125,1,0,1,1,0,1
0.0037499999,1,0,1,1,0,1
0.0062499996,1,0,1,1,0,1
0.00875,1,0,1,1,0,1
0.01125,1,0,1,1,0,1
0.01375,1,0,1,1,0,1
0.016249999,1,0,1,1,0,1
0.018749999,1,0,1,1,0,1
0.02125,1,0,1,1,0,1
0.02375,1,0,1,1,0,1
0.026249999,1,0,1,1,0,1
0.028749999,1,0,1,1,0,1
0.03125,1,0,1,1,0,1
0.033749998,1,0,1,1,0,1
0.036249999,1,0,1,1,0,1
0.03875,1,0,1,1,0,1
0.041249998,1,0,1,1,0,1
0.043749999,1,0,1,1,0,1
0.046250001,1,0,1,1,0,1
0.048749998,1,0,1,1,0,1
0.05125,1,0,1,1,0,1
0.053749997,1,0,1,1,0,1
0.056249999,1,0,1,1,0,1
0.05875,1,0,1,1,0,1
0.061249997,1,0,1,1,0,1
0.063749999,1,0,1,1,0,1
0.066249996,1,0,1,1,0,1
0.068750001,1,0,1,1,0,1
0.071249999,1,0,1,1,0,1
0.073749997,1,0,1,1,0,1
0.076250002,1,0,1,1,0,1
0.078749999,1,0,1,1,0,1
0.081249997,1,0,1,1,0,1
0.083749995,1,0,1,1,0,1
0.08625,1,0,1,1,0,1
0.088749997,1,0,1,1,0,1
0.091249995,1,0,1,1,0,1
0.09375,1,0,1,1,0,1
0.096249998,1,0,1,1,0,1
0.098749995,1,0,1,1,0,1
0.10125,1,0,1,1,0,1
0.10375,1,0,1,1,0,1
0.10625,1,0,1,1,0,1
0.10875,1,0,1,1,0,1
0.11125,1,0,1,1,0,1
0.11375,1,0,1,1,0,1
0.11625,1,0,1,1,0,1
0.11875,1,0,1,1,0,1
0.12125,1,0,1,1,0,1
0.12374999,1,0,1,1,0,1
0.12625,1,0,1,1,0,1
0.12875,1,0,1,1,0,1
0.13124999,1,0,1,1,0,1
0.13374999,1,0,1,1,0,1
0.13625,1,0,1,1,0,1
0.13875,1,0,1,1,0,1
0.14125,1,0,1,1,0,1
0.14375,1,0,1,1,0,1
0.14624999,1,0,1,1,0,1
0.14874999,1,0,1,1,0,1
0.15124999,1,0,1,1,0,1
0.15375,1,0,1,1,0,1
0.15625,1,0,1,1,0,1
0.15875,1,0,1,1,0,1
0.16125,1,0,1,1,0,1
0.16374999,1,0,1,1,0,1
0.16624999,1,0,1,1,0,1
0.16875,1,0,1,1,0,1
0.17125,1,0,1,1,0,1
0.17375,1,0,1,1,0,1
0.17625,1,0,1,1,0,1
0.17874999,1,0,1,1,0,1
0.18124999,1,0,1,1,0,1
0.18374999,1,0,1,1,0,1
0.18625,1,0,1,1,0,1
0.18875,1,0,1,1,0,1
0.19125,1,0,1,1,0,1
0.19374999,1,0,1,1,0,1
0.19624999,1,0,1,1,0,1
0.19874999,1,0,1,1,0,1
0.20125,1,0,1,1,0,1
0.20375,1,0,1,1,0,1
0.20625,1,0,1,1,0,1
0.20874999,1,0,1,1,0,1
0.21124999,1,0,1,1,0,1
0.21374999,1,0,1,1,0,1
0.21625,1,0,1,1,0,1
0.21875,1,0,1,1,0,1
0.22125,1,0,1,1,0,1
0.22375,1,0,1,1,0,1
0.22624999,1,0,1,1,0,1
0.22874999,1,0,1,1,0,1
0.23124999,1,0,1,1,0,1
0.23375,1,0,1,1,0,1
0.23625,1,0,1,1,0,1
0.23875,1,0,1,1,0,1
0.24124999,1,0,1,1,0,1
0.24374999,1,0,1,1,0,1
0.24624999,1,0,1,1,0,1
0.24875,1,2.5818149e-08,1,1,0,1
0.25125,0.99999917,1.0094927e-06,0.99999887,1,0,1
0.25375,0.99998569,1.6898344e-05,0.99998003,1,0,1
0.25624999,0.99978584,0.00025323901,0.99970049,1,0,1
0.25874999,0.99778181,0.0026265453,0.99689633,1,0,1
0.26124999,0.99325556,0.0080000078,0.99057192,1,0,1
0.26374999,0.9872303,0.015183801,0.98217005,0.9986162,0.0016382425,0.99806321
0.26624998,0.9803552,0.02342435,0.97260815,0.98985319,0.012054899,0.98582335
0.26874998,0.97300869,0.032281801,0.96241993,0.9811518,0.022471556,0.97371237
0.27124998,0.96540356,0.041507397,0.95190579,0.97251171,0.032888213,0.96172914
0.27375001,0.95765734,0.050965257,0.94122964,0.9639325,0.043304994,0.94987241
0.27625,0.94983435,0.060578536,0.9304834,0.95541404,0.05372165,0.93814133
0.27875,0.94197333,0.070302598,0.91972023,0.94695591,0.064138307,0.92653465
0.28125,0.93409801,0.080109596,0.90897363,0.93855779,0.074554964,0.91505127
0.28375,0.92622387,0.089981563,0.89826494,0.93021936,0.084971621,0.9036901
0.28625,0.9183622,0.099905632,0.88760865,0.9219403,0.095388277,0.89245006
0.28874999,0.9105202,0.10987258,0.87701583,0.9137203,0.10580493,0.88133006
0.29124999,0.90270364,0.1198755,0.86649382,0.90555903,0.11622159,0.87032903
0.29374999,0.89491749,0.12990883,0.85604864,0.89745618,0.12663825,0.85944592
0.29624999,0.88716513,0.13996862,0.84568465,0.88941144,0.1370549,0.84867966
0.29874998,0.87944883,0.15005125,0.83540523,0.88142449,0.14747156,0.83802921
0.30124998,0.87177116,0.16015379,0.82521284,0.87349502,0.15788822,0.82749353
0.30374998,0.86413425,0.17027418,0.81510967,0.86562273,0.16830487,0.81707159
0.30625001,0.85653871,0.18041043,0.80509686,0.8578072,0.17872166,0.80676224
0.30875,0.84898621,0.19056076,0.79517621,0.85004832,0.18913831,0.7965647
0.31125,0.84147739,0.20072405,0.78534824,0.84234568,0.19955497,0.78647785
0.31375,0.83401364,0.21089894,0.77561349,0.83469899,0.20997163,0.77650068
