x,rho,u,p,rho_exact,u_exact,p_exact
0.00125,1,0,1,1,0,1
0.0037499999,1,0,1,1,0,1
0.0062499996,1,0,1,1,0,1
0.00875,1,0,1,1,0,1
0.01125,1,0,1,1,0,1
0.01375,1,0,1,1,0,1
0.016249999,1,0,1,1,0,1
0.018749999,1,0,1,1,0,1
0.02125,1,0,1,1,0,1
0.02375,1,0,1,1,0,1
0.026249999,1,0,1,1,0,1
0.028749999,1,0,1,1,0,1
0.03125,1,0,1,1,0,1
0.033749998,1,0,1,1,0,1
0.036249999,1,0,1,1,0,1
0.03875,1,0,1,1,0,1
0.041249998,1,0,1,1,0,1
0.043749999,1,0,1,1,0,1
0.046250001,1,0,1,1,0,1
0.048749998,1,0,1,1,0,1
0.05125,1,0,1,1,0,1
0.053749997,1,0,1,1,0,1
0.056249999,1,0,1,1,0,1
0.05875,1,0,1,1,0,1
0.061249997,1,0,1,1,0,1
0.063749999,1,0,1,1,0,1
0.066249996,1,0,1,1,0,1
0.068750001,1,0,1,1,0,1
0.071249999,1,0,1,1,0,1
0.073749997,1,0,1,1,0,1
0.076250002,1,0,1,1,0,1
0.078749999,1,0,1,1,0,1
0.081249997,1,0,1,1,0,1
0.083749995,1,0,1,1,0,1
0.08625,1,0,1,1,0,1
0.088749997,1,0,1,1,0,1
0.091249995,1,0,1,1,0,1
0.09375,1,0,1,1,0,1
0.096249998,1,0,1,1,0,1
0.098749995,1,0,1,1,0,1
0.10125,1,0,1,1,0,1
0.10375,1,0,1,1,0,1
0.10625,1,0,1,1,0,1
0.10875,1,0,1,1,0,1
0.11125,1,0,1,1,0,1
0.11375,1,0,1,1,0,1
0.11625,1,0,1,1,0,1
0.11875,1,0,1,1,0,1
0.12125,1,0,1,1,0,1
0.12374999,1,0,1,1,0,1
0.12625,1,0,1,1,0,1
0.12875,1,0,1,1,0,1
0.13124999,1,0,1,1,0,1
0.13374999,1,0,1,1,0,1
0.13625,1,0,1,1,0,1
0.13875,1,0,1,1,0,1
0.14125,1,0,1,1,0,1
0.14375,1,0,1,1,0,1
0.14624999,1,0,1,1,0,1
0.14874999,1,0,1,1,0,1
0.15124999,1,0,1,1,0,1
0.15375,1,0,1,1,0,1
0.15625,1,0,1,1,0,1
0.15875,1,0,1,1,0,1
0.16125,1,0,1,1,0,1
0.16374999,1,0,1,1,0,1
0.16624999,1,0,1,1,0,1
0.16875,1,0,1,1,0,1
0.17125,1,0,1,1,0,1
0.17375,1,0,1,1,0,1
0.17625,1,0,1,1,0,1
0.17874999,1,0,1,1,0,1
0.18124999,1,0,1,1,0,1
0.18374999,1,0,1,1,0,1
0.18625,1,0,1,1,0,1
0.18875,1,0,1,1,0,1
0.19125,1,0,1,1,0,1
0.19374999,1,0,1,1,0,1
0.19624999,1,0,1,1,0,1
0.19874999,1,0,1,1,0,1
0.20125,1,0,1,1,0,1
0.20375,1,0,1,1,0,1
0.20625,1,0,1,1,0,1
0.20874999,1,0,1,1,0,1
0.21124999,1,0,1,1,0,1
0.21374999,1,0,1,1,0,1
0.21625,1,-5.0076348e-08,1,1,0,1
0.21875,1,-2.6174482e-07,1.0000004,1,0,1
0.22125,1.000001,-1.1130096e-06,1.0000015,1,0,1
0.22375,1.0000023,-3.2277424e-06,1.0000039,1,0,1
0.22624999,1.000005,-5.9120866e-06,1.0000075,1,0,1
0.22874999,1.0000067,-6.9907128e-06,1.0000089,1,0,1
0.23124999,1.0000029,-3.2274681e-06,1.0000041,1,0,1
0.23375,0.99999458,6.5517165e-06,0.99999249,1,0,1
0.23625,0.99998635,1.6440883e-05,0.99998105,1,0,1
0.23875,0.99998963,1.3238991e-05,0.99998498,1,0,1
0.24124999,1.0000134,-1.4481959e-05,1.0000179,1,0,1
0.24374999,1.0000508,-5.898728e-05,1.0000703,1,0,1
0.24624999,1.000066,-7.7401404e-05,1.0000923,1,0,1
0.24875,0.99998689,1.7188984e-05,0.99998051,1,0,1
0.25125,0.99969649,0.00036087664,0.99957377,1,0,1
0.25375,0.99901855,0.0011626252,0.9986257,1,0,1
0.25624999,0.99766839,0.002762872,0.99673629,1,0,1
0.25874999,0.9952625,0.0056182733,0.99337274,1,0,1
0.26124999,0.99155724,0.010024777,0.98820025,1,0,1
0.26374999,0.98660684,0.015933972,0.98129982,0.9986162,0.0016382425,0.99806321
0.26624998,0.98064744,0.023078253,0.97301275,0.98985319,0.012054899,0.98582335
0.26874998,0.97396171,0.031135468,0.96373874,0.9811518,0.022471556,0.97371237
0.27124998,0.96679258,0.039824944,0.95382196,0.97251171,0.032888213,0.96172914
0.27375001,0.95931768,0.048940744,0.94351274,0.9639325,0.043304994,0.94987241
0.27625,0.95165384,0.058345892,0.93297666,0.95541404,0.05372165,0.93814133
0.27875,0.94387382,0.067953326,0.9223178,0.94695591,0.064138307,0.92653465
0.28125,0.93602955,0.077707291,0.91160321,0.93855779,0.074554964,0.91505127
0.28375,0.92814946,0.087571017,0.90087682,0.93021936,0.084971621,0.9036901
0.28625,0.92025542,0.097519003,0.89016879,0.9219403,0.095388277,0.89245006
0.28874999,0.91236556,0.10753293,0.87950045,0.9137203,0.10580493,0.88133006
0.29124999,0.90448618,0.11759934,0.86888641,0.90555903,0.11622159,0.87032903
0.29374999,0.89662939,0.12770836,0.85833842,0.89745618,0.12663825,0.85944592
0.29624999,0.88880026,0.13785256,0.84786403,0.88941144,0.1370549,0.84867966
0.29874998,0.88100362,0.14802584,0.83746982,0.88142449,0.14747156,0.83802921
0.30124998,0.87324303,0.15822342,0.82716024,0.87349502,0.15788822,0.82749353
