x,rho,u,p,Y
0.0025,0.760933,0.501232,1.00482,0.177326
0.0075,0.869447,0.501421,1.00467,0.003136
0.0125,0.966606,0.501529,1.00403,0
0.0175,1.00964,0.501218,1.00268,0
0.0225,1.01026,0.500456,1.00151,0
0.0275,1.0088,0.500367,1.00139,0
0.0325,1.00609,0.500373,1.00139,0
0.0375,1.00326,0.50039,1.00141,0
0.0425,1.00131,0.500418,1.00144,0
0.0475,1.00094,0.500463,1.00149,0
0.0525,1.00094,0.500535,1.00158,0
0.0575,1.00104,0.500637,1.0017,0
0.0625,1.00124,0.50077,1.00185,0
0.0675,1.00143,0.500933,1.00204,0
0.0725,1.00161,0.501111,1.00224,0
0.0775,1.00175,0.501273,1.00243,0
0.0825,1.00182,0.501359,1.00252,0
0.0875,1.00182,0.501371,1.00253,0
0.0925,1.0018,0.501365,1.00251,0
0.0975,1.00175,0.50131,1.00244,0
0.1025,1.00162,0.501162,1.00226,0
0.1075,1.00142,0.500939,1.002,0
0.1125,1.0012,0.500674,1.00168,0
0.1175,1.00098,0.500406,1.00137,0
0.1225,1.00079,0.500184,1.00111,0
0.1275,1.0007,0.500067,1.00097,0
0.1325,1.00068,0.500049,1.00095,0
0.1375,1.00068,0.500048,1.00096,0
0.1425,1.00069,0.500053,1.00096,0
0.1475,1.0007,0.500067,1.00098,0
0.1525,1.00071,0.500083,1.00099,0
0.1575,1.00072,0.500097,1.001,0
0.1625,1.00072,0.500103,1.00101,0
0.1675,1.00072,0.500105,1.00101,0
0.1725,1.00072,0.500103,1.00101,0
0.1775,1.00073,0.500097,1.00102,0
0.1825,1.00074,0.500088,1.00103,0
0.1875,1.00075,0.500076,1.00105,0
0.1925,1.00076,0.500061,1.00106,0
0.1975,1.00077,0.500045,1.00107,0
0.2025,1.00077,0.500032,1.00108,5.60519e-45
0.2075,1.00078,0.500022,1.00109,1.12104e-44
0.2125,1.00078,0.500017,1.00109,1.68156e-44
0.2175,1.00078,0.500023,1.0011,2.24208e-44
0.2225,1.00078,0.500036,1.0011,2.8026e-44
0.2275,1.00078,0.500053,1.0011,3.36312e-44
0.2325,1.00078,0.500072,1.00109,3.92364e-44
0.2375,1.00076,0.500087,1.00107,4.48416e-44
0.2425,1.00074,0.500091,1.00103,5.04467e-44
0.2475,1.00069,0.500071,1.00097,5.60519e-44
0.2525,1.00061,0.500004,1.00086,6.16571e-44
0.2575,1.00049,0.499888,1.00069,7.42688e-44
0.2625,1.00035,0.499736,1.00049,1.87774e-43
0.2675,1.0002,0.499571,1.00028,9.94922e-43
0.2725,1.00007,0.499421,1.0001,6.17412e-42
0.2775,0.999978,0.499316,0.999973,3.70251e-41
0.2825,0.999954,0.499288,0.99994,2.09152e-40
0.2875,0.999955,0.499288,0.999942,1.11208e-39
0.2925,0.999968,0.499304,0.99996,5.58137e-39
0.2975,1.00001,0.499359,1.00002,2.65178e-38
0.3025,1.00009,0.499451,1.00013,1.1959e-37
0.3075,1.00019,0.499571,1.00027,5.13175e-37
0.3125,1.0003,0.499704,1.00042,2.09992e-36
0.3175,1.0004,0.499832,1.00057,8.21052e-36
0.3225,1.00049,0.499939,1.00069,3.07294e-35
0.3275,1.00055,0.500004,1.00078,1.10274e-34
0.3325,1.00057,0.50002,1.0008,3.79997e-34
0.3375,1.00057,0.500019,1.0008,1.25917e-33
0.3425,1.00057,0.500016,1.0008,4.01747e-33
0.3475,1.00056,0.500011,1.00079,1.2357e-32
0.3525,1.00054,0.500007,1.00076,3.66827e-32
0.3575,1.00052,0.500012,1.00074,1.05211e-31
0.3625,1.0005,0.500022,1.00071,2.91838e-31
0.3675,1.00049,0.500033,1.00069,7.83645e-31
0.3725,1.00048,0.500039,1.00068,2.03883e-30
0.3775,1.00048,0.500041,1.00069,5.14392e-30
0.3825,1.0005,0.500024,1.00071,1.25953e-29
0.3875,1.00058,0.499945,1.00082,2.99544e-29
0.3925,1.00067,0.499835,1.00095,6.92434e-29
0.3975,1.00077,0.499719,1.00109,1.5569e-28
0.4025,1.00085,0.499616,1.00121,3.40708e-28
0.4075,1.00092,0.499542,1.00129,7.26116e-28
0.4125,1.00095,0.499507,1.00134,1.5079e-27
0.4175,1.00095,0.499499,1.00135,3.05286e-27
0.4225,1.00095,0.499503,1.00134,6.02879e-27
0.4275,1.00092,0.499536,1.00131,1.16184e-26
0.4325,1.00088,0.499586,1.00125,2.18595e-26
0.4375,1.00084,0.49964,1.00118,4.01694e-26
0.4425,1.00079,0.499685,1.00112,7.21235e-26
0.4475,1.00075,0.499717,1.00107,1.26574e-25
0.4525,1.00073,0.499734,1.00103,2.17196e-25
0.4575,1.00071,0.499741,1.00101,3.64539e-25
0.4625,1.0007,0.499742,1.00099,5.98652e-25
