x,rho,rho_exact,level
0.0078125,0.999989,1,0
0.0234375,0.999989,1,0
0.0390625,0.999985,1,0
0.0546875,0.999959,1,0
0.0703125,0.999937,1,0
0.0859375,0.999938,1,0
0.101562,0.999987,1,0
0.117188,0.991489,1,0
0.128906,1.00001,1,1
0.136719,1.00028,1,1
0.144531,1.00065,1,1
0.152344,1.0014,1,1
0.160156,1.00265,1,1
0.167969,1.00354,1,1
0.175781,1.00354,1,1
0.183594,1.00298,1,1
0.191406,1.00157,1,1
0.199219,1.00038,1,1
0.207031,1.00006,1,1
0.214844,1.00004,1,1
0.222656,1.00005,1,1
0.230469,1.00023,1,1
0.238281,1.00108,1,1
0.246094,0.993132,1,1
0.503906,0.434113,0.434875,1
0.511719,0.435163,0.434875,1
0.519531,0.436217,0.434875,1
0.527344,0.435684,0.434875,1
0.535156,0.433794,0.434875,1
0.542969,0.433832,0.434875,1
0.550781,0.434022,0.434875,1
0.558594,0.435106,0.434875,1
0.566406,0.43551,0.434875,1
0.574219,0.434964,0.434875,1
0.582031,0.434433,0.434875,1
0.589844,0.433509,0.434875,1
0.597656,0.433703,0.434875,1
0.605469,0.433988,0.434875,1
0.613281,0.434944,0.434875,1
0.621094,0.42812,0.434875,1
0.753906,0.242738,0.243387,1
0.761719,0.243501,0.243387,1
0.769531,0.243963,0.243387,1
0.777344,0.24409,0.243387,1
0.785156,0.243947,0.243387,1
0.792969,0.243169,0.243387,1
0.800781,0.243097,0.243387,1
0.808594,0.238833,0.243387,1
0.941406,0.124273,0.125,1
0.949219,0.124993,0.125,1
0.957031,0.124995,0.125,1
0.964844,0.124996,0.125,1
0.972656,0.124996,0.125,1
0.980469,0.124995,0.125,1
0.988281,0.124994,0.125,1
0.996094,0.124994,0.125,1
0.128906,1.00001,1,1
0.136719,1.00028,1,1
0.144531,1.00065,1,1
0.152344,1.0014,1,1
0.160156,1.00265,1,1
0.167969,1.00354,1,1
0.175781,1.00354,1,1
0.183594,1.00298,1,1
0.191406,1.00157,1,1
0.199219,1.00038,1,1
0.207031,1.00006,1,1
0.214844,1.00004,1,1
0.222656,1.00005,1,1
0.230469,1.00023,1,1
0.238281,1.00108,1,1
0.246094,0.993132,1,1
0.503906,0.434113,0.434875,1
0.511719,0.435163,0.434875,1
0.519531,0.436217,0.434875,1
0.527344,0.435684,0.434875,1
0.535156,0.433794,0.434875,1
0.542969,0.433832,0.434875,1
0.550781,0.434022,0.434875,1
0.558594,0.435106,0.434875,1
0.566406,0.43551,0.434875,1
0.574219,0.434964,0.434875,1
0.582031,0.434433,0.434875,1
0.589844,0.433509,0.434875,1
0.597656,0.433703,0.434875,1
0.605469,0.433988,0.434875,1
0.613281,0.434944,0.434875,1
0.621094,0.42812,0.434875,1
0.753906,0.242738,0.243387,1
0.761719,0.243501,0.243387,1
0.769531,0.243963,0.243387,1
0.777344,0.24409,0.243387,1
0.785156,0.243947,0.243387,1
0.792969,0.243169,0.243387,1
0.800781,0.243097,0.243387,1
0.808594,0.238833,0.243387,1
0.941406,0.124273,0.125,1
0.949219,0.124993,0.125,1
0.957031,0.124995,0.125,1
0.964844,0.124996,0.125,1
0.972656,0.124996,0.125,1
0.980469,0.124995,0.125,1
0.988281,0.124994,0.125,1
0.996094,0.124994,0.125,1
0.251953,0.999311,1,2
0.255859,0.999033,1,2
0.259766,0.994815,1,2
0.263672,0.986413,0.998891,2
0.267578,0.976235,0.985223,2
0.271484,0.964876,0.971705,2
0.275391,0.952911,0.958335,2
0.279297,0.940557,0.945114,2
0.283203,0.927885,0.932038,2
0.287109,0.914953,0.919108,2
0.291016,0.901938,0.906322,2
0.294922,0.889077,0.893678,2
0.298828,0.876697,0.881176,2
0.302734,0.864914,0.868814,2
0.306641,0.85382,0.856591,2
0.310547,0.843166,0.844506,2
0.314453,0.832097,0.832558,2
0.318359,0.820566,0.820746,2
0.322266,0.809001,0.809068,2
0.326172,0.797566,0.797523,2
0.330078,0.786251,0.786111,2
0.333984,0.775075,0.77483,2
0.337891,0.764066,0.763678,2
0.341797,0.753211,0.752655,2
0.345703,0.742497,0.74176,2
0.349609,0.731931,0.730992,2
0.353516,0.721471,0.720348,2
0.357422,0.710962,0.70983,2
0.361328,0.700194,0.699434,2
0.365234,0.689101,0.689161,2
0.369141,0.67793,0.679008,2
0.373047,0.667169,0.668976,2
0.376953,0.657249,0.659062,2
0.380859,0.648256,0.649267,2
0.384766,0.639881,0.639588,2
0.388672,0.631632,0.630025,2
0.392578,0.623119,0.620577,2
0.396484,0.614221,0.611242,2
0.400391,0.605062,0.602021,2
0.404297,0.595872,0.59291,2
0.408203,0.586845,0.583911,2
0.412109,0.578063,0.575021,2
0.416016,0.569518,0.566239,2
0.419922,0.561157,0.557566,2
0.423828,0.552929,0.548998,2
0.427734,0.544805,0.540537,2
0.431641,0.536781,0.53218,2
0.435547,0.528872,0.523927,2
0.439453,0.521098,0.515777,2
0.443359,0.513467,0.507728,2
0.447266,0.505966,0.49978,2
0.451172,0.498555,0.491932,2
0.455078,0.491167,0.484183,2
0.458984,0.483736,0.476531,2
0.462891,0.476219,0.468977,2
0.466797,0.468629,0.461519,2
0.470703,0.461058,0.454156,2
0.474609,0.45369,0.446888,2
0.478516,0.446808,0.439713,2
0.482422,0.440826,0.434875,2
0.486328,0.436365,0.434875,2
0.490234,0.433873,0.434875,2
0.494141,0.433477,0.434875,2
0.498047,0.433725,0.434875,2
0.626953,0.435059,0.434875,2
0.630859,0.435883,0.434875,2
0.634766,0.435875,0.434875,2
0.638672,0.435691,0.434875,2
0.642578,0.435873,0.434875,2
0.646484,0.436451,0.434875,2
0.650391,0.437301,0.434875,2
0.654297,0.437871,0.434875,2
0.658203,0.438426,0.434875,2
0.662109,0.439469,0.434875,2
0.666016,0.439571,0.434875,2
0.669922,0.436506,0.434875,2
0.673828,0.418803,0.434875,2
0.677734,0.378366,0.434875,2
0.681641,0.323998,0.243387,2
0.685547,0.269722,0.243387,2
0.689453,0.239581,0.243387,2
0.693359,0.237068,0.243387,2
0.697266,0.237383,0.243387,2
0.701172,0.238607,0.243387,2
0.705078,0.240172,0.243387,2
0.708984,0.2416,0.243387,2
0.712891,0.242496,0.243387,2
0.716797,0.242609,0.243387,2
0.720703,0.242542,0.243387,2
0.724609,0.242426,0.243387,2
0.728516,0.24236,0.243387,2
0.732422,0.242417,0.243387,2
0.736328,0.242659,0.243387,2
0.740234,0.243012,0.243387,2
0.744141,0.243405,0.243387,2
0.748047,0.243573,0.243387,2
0.814453,0.24341,0.243387,2
0.818359,0.244277,0.243387,2
0.822266,0.244744,0.243387,2
0.826172,0.244883,0.243387,2
0.830078,0.244854,0.243387,2
0.833984,0.244726,0.243387,2
0.837891,0.244666,0.243387,2
0.841797,0.244762,0.243387,2
0.845703,0.244957,0.243387,2
0.849609,0.245036,0.243387,2
0.853516,0.245161,0.243387,2
0.857422,0.245082,0.243387,2
0.861328,0.244735,0.243387,2
0.865234,0.243325,0.243387,2
0.869141,0.239633,0.243387,2
0.873047,0.208674,0.243387,2
0.876953,0.147227,0.125,2
0.880859,0.125435,0.125,2
0.884766,0.124999,0.125,2
0.888672,0.125015,0.125,2
0.892578,0.125003,0.125,2
0.896484,0.125,0.125,2
0.900391,0.125004,0.125,2
0.904297,0.125005,0.125,2
