step,t,dt,res_mass,res_momx,res_momy,res_energy,cells,patches,rho_min,rho_max,p_min,p_max,mass,kinetic_energy,total_energy,enstrophy,species_mass,wall_s,mcells_per_s
0,0,0,0,0,0,0,147456,512,1,2,2.5,2.5,1.5,0.0469125,6.29691297,0.00394058372,0,0.000,0.0
10,0.0044188007,0.000441827,1.91036,1.0381,0.692705,2.98564,65536,192,0.993808,2.01047,2.47032,2.55659,1.49999998,0.0467183489,6.29691295,10.2522512,0,0.083,9.3
20,0.0191340841,0.00147201,0.795898,0.43098,0.540959,3.25804,65536,192,0.981056,2.01042,2.44043,2.52007,1.49999996,0.0464803174,6.29691293,21.6547804,0,0.149,9.6
30,0.0338525214,0.00147143,0.648938,0.326936,0.523603,1.79246,65536,192,0.979408,2.01469,2.43424,2.53397,1.49999995,0.0463258411,6.29691293,19.4579661,0,0.217,9.6
40,0.0485706246,0.00147203,0.469618,0.267303,0.500694,1.18004,65536,192,0.980196,2.02076,2.43826,2.53944,1.49999994,0.0462120174,6.29691293,17.0990477,0,0.269,10.2
50,0.0632898634,0.00147145,0.385312,0.226251,0.312784,1.25181,65536,192,0.97818,2.0184,2.43817,2.52908,1.49999993,0.046113065,6.29691292,15.3954104,0,0.315,10.8
60,0.077999094,0.0014707,0.301046,0.17937,0.255818,0.946313,65536,192,0.978673,2.01203,2.44044,2.52425,1.49999993,0.0460189327,6.29691293,14.0599829,0,0.360,11.2
70,0.0927047601,0.00147028,0.252326,0.155085,0.197136,0.760819,65536,192,0.976321,2.01273,2.43271,2.52517,1.49999993,0.045936056,6.29691294,13.0170265,0,0.405,11.6
80,0.107403202,0.00146948,0.221389,0.139034,0.170503,0.644786,65536,192,0.975691,2.00912,2.43088,2.51852,1.49999994,0.045855091,6.29691294,12.1740933,0,0.451,11.9
90,0.122092897,0.00146857,0.209976,0.129878,0.151357,0.617752,65536,192,0.975644,2.00866,2.43095,2.51807,1.49999993,0.045782216,6.29691294,11.4720955,0,0.496,12.1
100,0.136773809,0.00146773,0.188568,0.119583,0.155215,0.523534,65536,192,0.975812,2.00833,2.43163,2.51794,1.49999993,0.0457148808,6.29691294,10.8776207,0,0.540,12.3
110,0.151447375,0.00146707,0.18227,0.11311,0.1301,0.610019,65536,192,0.975814,2.0081,2.43157,2.5171,1.49999993,0.0456515265,6.29691294,10.3674498,0,0.585,12.5
120,0.166114909,0.00146653,0.175906,0.10703,0.127462,0.588017,65536,192,0.976102,2.00788,2.43232,2.51686,1.49999993,0.045590215,6.29691294,9.92186528,0,0.630,12.7
130,0.180778284,0.0014662,0.166221,0.101912,0.13953,0.465765,65536,192,0.976408,2.00769,2.43289,2.51631,1.49999993,0.0455315149,6.29691293,9.52861367,0,0.674,12.8
140,0.195439331,0.00146607,0.165056,0.0976717,0.115879,0.561645,65536,192,0.976804,2.0084,2.43349,2.51583,1.49999993,0.0454761296,6.29691293,9.17814308,0,0.720,12.9
150,0.210100486,0.00146618,0.145191,0.0921774,0.144319,0.467144,65536,192,0.977166,2.01084,2.43372,2.51899,1.49999993,0.0454223116,6.29691294,8.86368025,0,0.766,13.0
160,0.224760645,0.00146589,0.14,0.0885119,0.144351,0.435746,65536,192,0.977587,2.01181,2.43392,2.5207,1.49999993,0.045371187,6.29691294,8.57944829,0,0.811,13.1
170,0.239418947,0.0014658,0.153259,0.0881372,0.101086,0.536897,65536,192,0.977642,2.00675,2.43264,2.51335,1.49999993,0.0453220817,6.29691293,8.32047884,0,0.856,13.1
180,0.254076003,0.00146553,0.14672,0.0864133,0.118971,0.480845,65536,192,0.978095,2.00644,2.43225,2.51874,1.49999993,0.0452725643,6.29691293,8.08053414,0,0.902,13.2
190,0.268728477,0.00146503,0.153495,0.0804385,0.122192,0.460416,65536,192,0.980055,2.007,2.43706,2.52115,1.49999993,0.0452240414,6.29691294,7.86270456,0,0.947,13.3
200,0.283376948,0.00146472,0.130278,0.0722907,0.123648,0.46056,65536,192,0.981112,2.00748,2.44044,2.52202,1.49999992,0.0451765138,6.29691294,7.67252014,0,0.992,13.3
210,0.298022542,0.00146444,0.126728,0.0758538,0.126965,0.441945,65536,192,0.980327,2.00755,2.44214,2.52301,1.49999993,0.0451313451,6.29691294,7.49421063,0,1.037,13.4
220,0.312666419,0.00146436,0.133781,0.0805779,0.130296,0.415894,65536,192,0.979087,2.00733,2.43877,2.52185,1.49999992,0.0450885245,6.29691294,7.32367954,0,1.083,13.4
230,0.327309264,0.0014642,0.151662,0.0847967,0.0980786,0.499439,65536,192,0.978698,2.00958,2.43604,2.5187,1.49999992,0.0450470323,6.29691295,7.15747229,0,1.130,13.4
240,0.341949383,0.00146383,0.159174,0.0820878,0.10697,0.486229,65536,192,0.978683,2.01239,2.43373,2.52154,1.49999992,0.0450051793,6.29691296,6.99749033,0,1.179,13.4
250,0.356585348,0.00146341,0.111391,0.0687375,0.172112,0.167194,65536,192,0.978572,2.01513,2.43272,2.52602,1.49999992,0.0449628637,6.29691297,6.85321752,0,1.231,13.4
260,0.371217326,0.00146301,0.124405,0.0654497,0.132497,0.369057,65536,192,0.978345,2.01477,2.43254,2.52546,1.49999992,0.0449236113,6.29691296,6.72338343,0,1.279,13.4
270,0.38584472,0.0014625,0.14304,0.0686168,0.086571,0.475365,65536,192,0.978289,2.01068,2.43409,2.5206,1.49999992,0.0448860938,6.29691296,6.60251943,0,1.334,13.3
280,0.400466492,0.00146189,0.140874,0.0722232,0.106459,0.413338,65536,192,0.978656,2.00831,2.43693,2.52228,1.49999992,0.0448486832,6.29691295,6.48742872,0,1.397,13.2
290,0.415082102,0.0014613,0.135728,0.0753196,0.108859,0.394543,65536,192,0.979383,2.00776,2.4396,2.52458,1.49999993,0.0448114375,6.29691295,6.37430547,0,1.464,13.1
300,0.429692541,0.00146087,0.122231,0.0746325,0.107269,0.384795,65536,192,0.980144,2.00771,2.43949,2.52463,1.49999992,0.0447740577,6.29691295,6.26274095,0,1.523,13.0
310,0.444300608,0.00146081,0.111067,0.071681,0.105397,0.375219,65536,192,0.980324,2.00731,2.43625,2.524,1.49999992,0.0447365504,6.29691294,6.15668343,0,1.578,12.9
320,0.458909201,0.00146091,0.109843,0.0694934,0.10425,0.373881,65536,192,0.979602,2.00715,2.43229,2.52187,1.49999992,0.0446993613,6.29691294,6.05838057,0,1.624,13.0
330,0.473518831,0.001461,0.126302,0.0701456,0.0730059,0.442151,65536,192,0.97857,2.00744,2.43004,2.51946,1.49999993,0.0446628323,6.29691294,5.96631987,0,1.671,13.0
340,0.488128386,0.0014609,0.114443,0.0684753,0.106035,0.343682,65536,192,0.977842,2.00896,2.42954,2.51971,1.49999992,0.0446266787,6.29691294,5.8785289,0,1.718,13.0
350,0.502736193,0.00146067,0.102683,0.0665264,0.123283,0.290385,65536,192,0.977662,2.00997,2.42947,2.51969,1.49999992,0.0445918601,6.29691293,5.79433229,0,1.765,13.1
360,0.517341301,0.00146037,0.118844,0.0670402,0.0961247,0.38981,65536,192,0.977824,2.0077,2.42982,2.51937,1.49999992,0.0445583445,6.29691292,5.71363636,0,1.818,13.0
370,0.531943179,0.00146004,0.122337,0.066538,0.0972682,0.343846,65536,192,0.978053,2.00607,2.4307,2.51918,1.49999992,0.0445251167,6.29691292,5.63652205,0,1.865,13.1
380,0.546541738,0.0014597,0.120459,0.0663577,0.0976043,0.344736,65536,192,0.978248,2.00557,2.43176,2.51895,1.49999992,0.0444925828,6.29691292,5.56301883,0,1.910,13.1
390,0.56113703,0.00145939,0.118074,0.0672195,0.0915234,0.395089,65536,192,0.978361,2.00597,2.43256,2.51849,1.49999992,0.0444607886,6.29691292,5.49255415,0,1.956,13.1
400,0.57572926,0.00145909,0.114395,0.0683249,0.0988013,0.363608,65536,192,0.978477,2.0062,2.43279,2.51772,1.49999992,0.0444291887,6.29691292,5.42442804,0,2.002,13.1
410,0.590318497,0.00145878,0.117812,0.0698164,0.0992453,0.348405,65536,192,0.978816,2.00584,2.43276,2.51712,1.49999992,0.0443976451,6.29691292,5.35825546,0,2.047,13.2
420,0.604807705,0.00144278,0.585262,0.714636,0.834914,4.94649,71680,216,0.969503,2.00763,2.40761,2.55758,1.49999992,0.0443727854,6.29691293,5.30941799,0,2.097,13.2
430,0.61925553,0.00144822,0.732419,0.952753,0.999831,6.14103,72704,220,0.977881,2.00956,2.40822,2.58051,1.49999992,0.0443436706,6.29691293,5.28243745,0,2.148,13.2
440,0.63366365,0.0014396,0.639702,0.724986,0.863019,4.96153,76800,236,0.976738,2.00988,2.39426,2.56041,1.49999992,0.044313829,6.29691293,5.27756257,0,2.199,13.3
450,0.648053121,0.00143677,0.820338,0.990084,1.08549,6.61713,75776,232,0.974141,2.00957,2.42358,2.57993,1.49999992,0.0442861848,6.29691293,5.2692689,0,2.250,13.3
460,0.662431927,0.00143579,0.664916,0.839016,0.873783,5.30112,72704,220,0.971549,2.0091,2.41148,2.5597,1.49999992,0.0442579941,6.29691293,5.25286805,0,2.302,13.3
