x,rho,rho_exact
0.00125,1,1
0.00375,1,1
0.00625,1,1
0.00875,1,1
0.01125,1,1
0.01375,1,1
0.01625,1,1
0.01875,1,1
0.02125,1,1
0.02375,1,1
0.02625,1,1
0.02875,1,1
0.03125,1,1
0.03375,1,1
0.03625,1,1
0.03875,1,1
0.04125,1,1
0.04375,1,1
0.04625,1,1
0.04875,1,1
0.05125,1,1
0.05375,1,1
0.05625,1,1
0.05875,1,1
0.06125,1,1
0.06375,1,1
0.06625,1,1
0.06875,1,1
0.07125,1,1
0.07375,1,1
0.07625,1,1
0.07875,1,1
0.08125,1,1
0.08375,1,1
0.08625,1,1
0.08875,1,1
0.09125,1,1
0.09375,1,1
0.09625,1,1
0.09875,1,1
0.10125,1,1
0.10375,1,1
0.10625,1,1
0.10875,1,1
0.11125,1,1
0.11375,1,1
0.11625,1,1
0.11875,1,1
0.12125,1,1
0.12375,1,1
0.12625,1,1
0.12875,1,1
0.13125,1,1
0.13375,1,1
0.13625,1,1
0.13875,1,1
0.14125,1,1
0.14375,1,1
0.14625,1,1
0.14875,1,1
0.15125,1,1
0.15375,1,1
0.15625,1,1
0.15875,1,1
0.16125,1,1
0.16375,1,1
0.16625,1,1
0.16875,1,1
0.17125,1,1
0.17375,1,1
0.17625,1,1
0.17875,1,1
0.18125,1,1
0.18375,1,1
0.18625,1,1
0.18875,1,1
0.19125,1,1
0.19375,1,1
0.19625,1,1
0.19875,1,1
0.20125,1,1
0.20375,1,1
0.20625,1,1
0.20875,1,1
0.21125,1,1
0.21375,1,1
0.21625,1,1
0.21875,1,1
0.22125,1,1
0.22375,1,1
0.22625,1,1
0.22875,1,1
0.23125,1,1
0.23375,1,1
0.23625,1,1
0.23875,1,1
0.24125,1,1
0.24375,1,1
0.24625,1,1
0.24875,1,1
0.25125,0.999999,1
0.25375,0.999986,1
0.25625,0.999786,1
0.25875,0.997782,1
0.26125,0.993256,1
0.26375,0.98723,0.998616
0.26625,0.980355,0.989853
0.26875,0.973009,0.981152
0.27125,0.965404,0.972512
0.27375,0.957657,0.963932
0.27625,0.949834,0.955414
0.27875,0.941973,0.946956
0.28125,0.934098,0.938558
0.28375,0.926224,0.930219
0.28625,0.918362,0.92194
0.28875,0.91052,0.91372
0.29125,0.902704,0.905559
0.29375,0.894917,0.897456
0.29625,0.887165,0.889411
0.29875,0.879449,0.881424
0.30125,0.871771,0.873495
0.30375,0.864134,0.865623
0.30625,0.856539,0.857807
0.30875,0.848986,0.850048
0.31125,0.841477,0.842346
0.31375,0.834014,0.834699
0.31625,0.826595,0.827108
0.31875,0.819223,0.819572
0.32125,0.811897,0.812091
0.32375,0.804617,0.804665
0.32625,0.797385,0.797294
0.32875,0.7902,0.789977
0.33125,0.783062,0.782713
0.33375,0.775972,0.775503
0.33625,0.768929,0.768346
0.33875,0.761934,0.761242
0.34125,0.754988,0.754191
0.34375,0.748089,0.747192
