x,rho,rho_exact
0.078125,1.00004,1
0.234375,1.00048,1
0.390625,1.0006,1
0.546875,1.00057,1
0.703125,1.00032,1
0.859375,1.00006,1
1.01562,0.999917,1
1.17188,0.999883,1
1.32812,0.999963,1
1.48438,1.00004,1
1.64062,1.00004,1
1.79688,1.00002,1
1.95312,0.999985,1
2.10938,0.999977,1
2.26562,0.999977,1
2.42188,0.999982,1
2.57812,0.999995,1
2.73438,1.00001,1
2.89062,1.00003,1
3.04688,1.00006,1
3.20312,1.0001,1
3.35938,1.00012,0.999999
3.51562,1.00007,0.999997
3.67188,0.999986,0.99999
3.82812,0.999926,0.999974
3.98438,0.999913,0.999931
4.14062,0.999893,0.999827
4.29688,0.999815,0.999588
4.45312,0.999493,0.999066
4.60938,0.998515,0.997979
4.76562,0.99609,0.995841
4.92188,0.991585,0.99185
5.07812,0.984302,0.984806
5.23438,0.972932,0.973064
5.39062,0.955201,0.954618
5.54688,0.928647,0.927392
5.70312,0.891481,0.889765
5.85938,0.844113,0.841267
6.01562,0.787872,0.783226
6.17188,0.723949,0.719063
6.32812,0.656379,0.653966
6.48438,0.593003,0.593984
6.64062,0.538103,0.544861
6.79688,0.518285,0.511106
6.95312,0.519814,0.495575
7.10938,0.522722,0.499487
7.26562,0.532498,0.522543
7.42188,0.561109,0.562884
7.57812,0.611268,0.616976
7.73438,0.678239,0.679736
7.89062,0.755147,0.745162
8.04688,0.819963,0.807415
8.20312,0.856883,0.861932
8.35938,0.892812,0.906128
8.51562,0.931744,0.939458
8.67188,0.965967,0.962937
8.82812,0.981532,0.978447
8.98438,0.988999,0.988086
9.14062,0.992859,0.993735
9.29688,0.995362,0.996866
9.45312,0.997129,0.998507
9.60938,0.998212,0.999323
9.76562,0.998901,0.999708
9.92188,0.999473,0.99988
