x,rho,rho_exact
0.078125,0.999949,1
0.234375,0.999975,1
0.390625,1,1
0.546875,1.00004,1
0.703125,1.00007,1
0.859375,1.00009,1
1.01562,1.00009,1
1.17188,1.00007,1
1.32812,1.00005,1
1.48438,1.00003,1
1.64062,1.00002,1
1.79688,1.00001,1
1.95312,1.00001,1
2.10938,1,1
2.26562,1,1
2.42188,1,1
2.57812,1.00001,1
2.73438,1.00002,1
2.89062,1.00004,1
3.04688,1.00006,1
3.20312,1.00008,1
3.35938,1.0001,0.999999
3.51562,1.00011,0.999997
3.67188,1.00011,0.99999
3.82812,1.00012,0.999974
3.98438,1.00011,0.999931
4.14062,1.00006,0.999827
4.29688,0.999889,0.999588
4.45312,0.999443,0.999066
4.60938,0.998414,0.997979
4.76562,0.996296,0.995841
4.92188,0.99227,0.99185
5.07812,0.985119,0.984806
5.23438,0.973227,0.973064
5.39062,0.954666,0.954618
5.54688,0.927412,0.927392
5.70312,0.889841,0.889765
5.85938,0.841469,0.841267
6.01562,0.78348,0.783226
6.17188,0.719221,0.719063
6.32812,0.654101,0.653966
6.48438,0.594293,0.593984
6.64062,0.5454,0.544861
6.79688,0.511774,0.511106
6.95312,0.496297,0.495575
7.10938,0.500359,0.499487
7.26562,0.523565,0.522543
7.42188,0.563904,0.562884
7.57812,0.6178,0.616976
7.73438,0.680323,0.679736
7.89062,0.745782,0.745162
8.04688,0.808191,0.807415
8.20312,0.862823,0.861932
8.35938,0.907068,0.906128
8.51562,0.94029,0.939458
8.67188,0.963495,0.962937
8.82812,0.978689,0.978447
8.98438,0.988099,0.988086
9.14062,0.993629,0.993735
9.29688,0.996726,0.996866
9.45312,0.998398,0.998507
9.60938,0.99927,0.999323
9.76562,0.999698,0.999708
9.92188,0.999883,0.99988
